n,p,e,i,mind,minf,maxc
1000,0.750,374839,001,989,995,994
1000,0.750,374445,002,989,995,993
1000,0.750,374079,003,989,995,995
1000,0.750,374450,004,989,995,995
1000,0.750,374820,005,989,995,994
1000,0.750,374491,006,988,995,994
1000,0.750,374444,007,988,995,995
1000,0.750,375112,008,989,995,994
1000,0.750,374369,009,989,995,995
1000,0.750,374803,010,989,995,994
1000,0.750,374665,011,988,996,994
1000,0.750,374692,012,990,995,994
1000,0.750,374482,013,989,995,994
1000,0.750,374682,014,990,995,995
1000,0.750,374506,015,989,995,995
1000,0.750,374577,016,989,995,993
1000,0.750,374250,017,989,995,995
1000,0.750,374619,018,989,995,994
1000,0.750,374052,019,989,995,993
1000,0.750,374567,020,988,996,994
1000,0.750,374346,021,988,995,994
1000,0.750,374927,022,989,995,994
1000,0.750,374497,023,989,995,994
1000,0.750,374249,024,989,996,994
1000,0.750,374375,025,990,995,994
1000,0.750,375223,026,989,995,994
1000,0.750,375052,027,989,995,994
1000,0.750,374458,028,989,996,993
1000,0.750,374524,029,989,995,993
1000,0.750,374437,030,989,995,995
1000,0.750,374639,031,989,995,994
1000,0.750,374816,032,988,995,995
1000,0.750,374813,033,990,996,993
1000,0.750,374513,034,988,995,994
1000,0.750,374388,035,990,995,995
1000,0.750,374359,036,989,995,995
1000,0.750,374385,037,989,995,994
1000,0.750,374814,038,989,996,994
1000,0.750,374363,039,988,995,995
1000,0.750,374553,040,990,994,995
1000,0.750,374515,041,989,996,995
1000,0.750,374905,042,989,995,995
1000,0.750,374842,043,989,995,994
1000,0.750,374724,044,988,995,994
1000,0.750,374338,045,989,995,995
1000,0.750,374381,046,988,995,995
1000,0.750,374943,047,988,995,994
1000,0.750,375048,048,989,995,995
1000,0.750,374885,049,990,995,995
1000,0.750,374402,050,988,995,995
1000,0.750,374852,051,989,995,995
1000,0.750,374181,052,988,995,994
1000,0.750,374629,053,989,995,994
1000,0.750,374926,054,989,996,994
1000,0.750,374759,055,988,995,994
1000,0.750,374813,056,988,995,994
1000,0.750,374695,057,990,995,995
1000,0.750,374721,058,989,995,995
1000,0.750,374529,059,989,995,993
1000,0.750,374508,060,988,995,993
1000,0.750,374610,061,990,995,996
1000,0.750,374755,062,989,995,994
1000,0.750,374713,063,988,995,996
1000,0.750,374610,064,989,995,994
1000,0.750,375058,065,989,995,994
1000,0.750,375015,066,989,995,993
1000,0.750,374614,067,989,995,994
1000,0.750,374587,068,989,995,994
1000,0.750,374489,069,989,995,995
1000,0.750,375168,070,990,995,994
1000,0.750,374602,071,989,995,994
1000,0.750,374703,072,988,995,994
1000,0.750,374478,073,989,995,994
1000,0.750,374513,074,989,995,993
1000,0.750,374671,075,989,996,993
1000,0.750,374382,076,988,995,994
1000,0.750,374897,077,989,995,993
1000,0.750,375188,078,989,995,993
1000,0.750,373929,079,989,995,993
1000,0.750,374726,080,990,995,995
1000,0.750,374700,081,988,996,995
1000,0.750,374389,082,989,995,996
1000,0.750,374578,083,988,995,993
1000,0.750,374451,084,989,995,995
1000,0.750,375011,085,989,995,993
1000,0.750,374996,086,988,995,994
1000,0.750,375058,087,988,995,994
1000,0.750,375085,088,989,995,992
1000,0.750,374494,089,988,995,993
1000,0.750,374633,090,989,995,994
1000,0.750,374828,091,989,995,993
1000,0.750,374472,092,988,995,994
1000,0.750,374543,093,989,995,995
1000,0.750,374320,094,988,995,994
1000,0.750,374616,095,989,995,994
1000,0.750,375017,096,989,995,995
1000,0.750,374697,097,989,995,994
1000,0.750,374720,098,989,995,994
1000,0.750,374774,099,989,995,993
1000,0.750,374589,100,989,995,994
-1,-1,-1,mean,988.850,995.090,994.140
-1,-1,-1,median,989.000,995.000,994.000
